Grupa	Podgrupa	Šifra	Naziv Latinski	Naziv		Šifra	Naziv engleski
G00-G99	G80-G83	G80.8	PARALYSIS CEREBRALIS INFANTILIS ALIA	DRUGA CEREBRALNA PARALIZA	1	G80.8	Other cerebral palsy
G00-G99	G80-G83	G80.9	PARALYSIS CEREBRALIS INFANTILIS, NON SPECIFICATA	CEREBRALNA PARALIZA, NEOZNAČENA	1	G80.9	Cerebral palsy, unspecified
G00-G99	G80-G83	G81	HEMIPLEGIA	JEDNOSTRANA PARALIZA 	1	G81.-	Hemiplegia
G00-G99	G80-G83	G81.0	HEMIPLEGIA FLACCIDA	MLITAVA JEDNOSTRANA PARALIZA	1	G81.0	Flaccid hemiplegia
G00-G99	G80-G83	G81.1	HEMIPLEGIA SPASTICA	SPASTIČNA JEDNOSTRANA PARALIZA	1	G81.1	Spastic hemiplegia
G00-G99	G80-G83	G81.9	HEMIPLEGIA, NON SPECIFICATA	JEDNOSTRANA PARALIZA, NEOZNAČENA	1	G81.9	Hemiplegia, unspecified
G00-G99	G80-G83	G82	PARAPLEGIA ET TETRAPLEGIA	PARAPLEGIJA I TETRAPLEGIJA	1	G82.-	Paraplegia and tetraplegia
G00-G99	G80-G83	G82.0	PARAPLEGIA FLACCIDA	MLITAVA PARALIZA DVA SIMETRIČNA UDA	1	G82.0	Flaccid paraplegia
G00-G99	G80-G83	G82.1	PARAPLEGIA SPASTICA	SPASTIČNA PARALIZA DVA SIMETRIČNA UDA	1	G82.1	Spastic paraplegia
G00-G99	G80-G83	G82.2	PARAPLEGIA, NON SPECIFICATA	SIMETRIČNA PARALIZA UDOVA, NEOZNAČENA	1	G82.2	Paraplegia, unspecified
G00-G99	G80-G83	G82.3	TETRAPLEGIA FLACCIDA	MLITAVA PARALIZA SVIH UDOVA	1	G82.3	Flaccid tetraplegia
G00-G99	G80-G83	G82.4	TETRAPLEGIA SPASTICA	SPASTIČNA PARALIZA SVIH UDOVA	1	G82.4	Spastic tetraplegia
G00-G99	G80-G83	G82.5	TETRAPLEGIA, NON SPECIFICATA	PARALIZA SVIH UDOVA, NEOZNAČENA	1	G82.5	Tetraplegia, unspecified
G00-G99	G80-G83	G83	SYNDROMAE PARALITICAE ALIAE	OSTALI PARALITIČNI SINDROMI	1	G83.-	Other paralytic syndromes
G00-G99	G80-G83	G83.0	DIPLEGIA EXTREMITATUM SUPERIORUM	PARALIZA OBIJE RUKE	1	G83.0	Diplegia of upper limbs
G00-G99	G80-G83	G83.1	MONOPLEGIA EXTREMITATUM INFERIORIS	PARALIZA JEDNE NOGE	1	G83.1	Monoplegia of lower limb
G00-G99	G80-G83	G83.2	MONOPLEGIA EXTREMITATIS SUPERIORIS	PARALIZA JEDNE RUKE	1	G83.2	Monoplegia of upper limb
G00-G99	G80-G83	G83.3	MONOPLEGIA, NON SPECIFICATA	PARALIZA JEDNOG UDA, NEOZNAČENA	1	G83.3	Monoplegia, unspecified
G00-G99	G80-G83	G83.4	SYNDROMA CAUDAE EQUINAE	SINDROM KAUDE EKVINE	1	G83.4	Cauda equina syndrome
G00-G99	G80-G83	G83.8	SYNDROMAE PARALYTICAE SPECIFICATAE, ALIAE	DRUGI OZNAČENI PARALITIČNI SINDROMI 	1	G83.8	Other specified paralytic syndromes
G00-G99	G80-G83	G83.9	SYNDROMA PARALYTICA, NON SPECIFICATA	PARALITIČNI SINDROM, NEOZNAČEN	1	G83.9	Paralytic syndrome, unspecified
G00-G99	G90-G99	G90	AFFECTIONES SYSTEMATIS NERVOSI AUTONOMI	POREMEĆAJI AUTONOMNOG NERVNOG SISTEMA	1	G90.-	Disorders of autonomic nervous system
G00-G99	G90-G99	G90.0	NEUROPATHIA AUTONOMA PERIPHERICA IDIOPATHICA	IDIOPATSKO PERIFERNO AUTONOMNO OBOLJENJE ŽIVCA	1	G90.0	Idiopathic peripheral autonomic neuropathy
G00-G99	G90-G99	G90.1	DYSAUTONOMIA FAMILLIARIS (RILEY-DAY)	PORODIČNA DISFUNKCIJA AUTONOMNOG NERVNOG SISTEMA (RILEY-DAY)	1	G90.1	Familial dysautonomia [Riley-Day]
G00-G99	G90-G99	G90.2	SYNDROMA HORNER	HORNEROV SINDROM	1	G90.2	Horner syndrome
G00-G99	G90-G99	G90.3	DEGENERATIO MULTISYSTEMICA	VIŠESISTEMSKA DEGENERACIJA	1	G90.3	Multi-system degeneration
G00-G99	G90-G99	G90.4	DYSREFLEXIA AUTONOMICA	AUTONOMNA DISREFLEKSIJA	1	G90.4	Autonomic dysreflexia
G00-G99	G90-G99	G90.8	AFFECTIONES SYSTEMATIS NERVOSI AUTONOMI ALII	DRUGI POREMEĆAJI AUTONOMNOG NERVNOG SISTEMA	1	G90.8	Other disorders of autonomic nervous system
G00-G99	G90-G99	G90.9	AFFECTIONES SYSTEMATIS NERVOSI AUTONOMI, NON SPECIFICATUS	POREMEĆAJ AUTONOMNOG NERVNOG SISTEMA, NEOZNAČEN	1	G90.9	Disorder of autonomic nervous system, unspecified
G00-G99	G90-G99	G91	HYDROCEPHALUS	HIDROCEFALUS 	1	G91.-	Hydrocephalus
G00-G99	G90-G99	G91.0	HYDROCEPHALUS COMMUNICANS	KOMUNIKATIVNI HIDROCEFALUS	1	G91.0	Communicating hydrocephalus
G00-G99	G90-G99	G91.1	HYDROCEPHALUS OBSTRUCTIVUS	OPSTRUKTIVNI HIDROCEFALUS	1	G91.1	Obstructive hydrocephalus
G00-G99	G90-G99	G91.2	HYDROCEPHALUS CUM TENSIONE NORMALI	HIDROCEFALUS SA NORMALNIM PRITISKOM	1	G91.2	Normal-pressure hydrocephalus
G00-G99	G90-G99	G91.3	HYDROCEPHALUS POSTTRAUMATICUS, NON SPECIFICATUS	POSTTRAUMATSKI HIDROCEFALUS, NEOZNAČEN	1	G91.3	Post-traumatic hydrocephalus, unspecified
G00-G99	G90-G99	G91.8	HYDROCEPHALUS ALIUS	DRUGI HIDROCEFALUS	1	G91.8	Other hydrocephalus
G00-G99	G90-G99	G91.9	HYDROCEPHALUS, NON SPECIFICATUS	HIDROCEFALUS, NEOZNAČEN	1	G91.9	Hydrocephalus, unspecified
G00-G99	G90-G99	G92	ENCEPHALOPATHIA TOXICA	TOKSIČNO OBOLJENJE MOZGA	1	G92	Toxic encephalopathy
G00-G99	G90-G99	G93	MORBI CEREBRI ALII	OSTALI POREMEĆAJI MOZGA	1	G93.-	Other disorders of brain
G00-G99	G90-G99	G93.0	CYSTIS CEREBRI	CISTA MOZGA	1	G93.0	Cerebral cysts
G00-G99	G90-G99	G93.1	LAESIO CEREBRI ANOXICA	OŠTEĆENJE MOZGA UZROKOVANO NEDOSTATKOM KISEONIKA, NEKLASIFIKOVANO NA DRUGOM MJESTU	1	G93.1	Anoxic brain damage, not elsewhere classified
G00-G99	G90-G99	G93.2	HYPERTENSIO INTRACRANIALIS BENIGNA	BENIGNA INTRAKRANIJALNA HIPERTENZIJA	1	G93.2	Benign intracranial hypertension
G00-G99	G90-G99	G93.3	SYNDROMA FATIGATIONIS POSTVIRALIS	SINDROM ZAMORA POSLIJE INFEKCIJE VIRUSIMA	1	G93.3	Postviral fatigue syndrome
G00-G99	G90-G99	G93.4	ENCEPHALOPATHIA, NON SPECIFICATA	ENCEFALOPATIJA, NEOZNAČEN	1	G93.4	Encephalopathy, unspecified
G00-G99	G90-G99	G93.5	COMPRESSIO CEREBRI	PRITISAK NA MOZAK	1	G93.5	Compression of brain
G00-G99	G90-G99	G93.6	OEDEMA CEREBRI	OTOK MOZGA	1	G93.6	Cerebral oedema
G00-G99	G90-G99	G93.7	SYNDROMA REYE	REYEOV SINDROM	1	G93.7	Reye syndrome
G00-G99	G90-G99	G93.8	MORBI CEREBRI SPECIFICATI, ALII	DRUGI OZNAČENI POREMEĆAJI MOZGA	1	G93.8	Other specified disorders of brain
G00-G99	G90-G99	G93.9	MORBUS CEREBRI, NON SPECIFICATUS	POREMEĆAJ MOZGA, NEOZNAČEN	1	G93.9	Disorder of brain, unspecified
G00-G99	G90-G99	G94*	MORBI CEREBRI ALII IN MORBIS ALIIS	POREMEĆAJI MOZGA U DRUGIM BOLESTIMA	1	G94.-*	Other disorders of brain in diseases classified elsewhere
G00-G99	G90-G99	G94.0*	HYDROCEPHALUS IN MORBIS INFECTIVIS ET MORBIS PARAZITARIIS (A00-B99+)	HIDROCEFALUS U ZARAZNIM BOLESTIMA I PARAZITARNIM BOLESTIMA	1	G94.0*	Hydrocephalus in infectious and parasitic diseases classified elsewhere
G00-G99	G90-G99	G94.1*	HYDROCEPHALUS AD NEOPLASMAM (C00-D48+)	HIDROCEFALUS KOD TUMORA	1	G94.1*	Hydrocephalus in neoplastic disease
G00-G99	G90-G99	G94.2*	HYDROCEPHALUS IN MORBIS ALIIS	HIDROCEFALUS KOD DRUGIH BOLESTI	1	G94.2*	Hydrocephalus in other diseases classified elsewhere
G00-G99	G90-G99	G94.8*	MORBI CEREBRI SPECIFICATI ALII IN MORBIS ALIIS	DRUGE OZNAČENE BOLESTI MOZGA U DRUGIM BOLESTIMA	1	G94.8*	Other specified disorders of brain in diseases classified elsewhere
G00-G99	G90-G99	G95	MORBI MEDULLAE SPINALIS ALII	OSTALA BOLESTI KIČMENE MOŽDINE	1	G95.-	Other diseases of spinal cord
G00-G99	G90-G99	G95.0	SYRINGOMYELIA ET SYRINGOBULBIA	OBOLJENJE CENTRALNOG KANALA KIČMENE I PRODUŽENE MOŽDINE	1	G95.0	Syringomyelia and syringobulbia
G00-G99	G90-G99	G95.1	MYELOPATHIA VASCULARIS	VASKULARNO OBOLJENJE KIČMENE MOŽDINE	1	G95.1	Vascular myelopathies
G00-G99	G90-G99	G95.2	COMPRESSIO MEDULLAE SPINALIS, NON SPECIFICATA	KOMPRESIJA KIČMENE MOŽDINE, NEOZNAČEN	1	G95.2	Cord compression, unspecified
G00-G99	G90-G99	G95.8	MORBI MEDULLAE SPINALIS SPECIFICATI, ALII	DRUGE OZNAČENE BOLESTI KIČMENE MOŽDINE	1	G95.8	Other specified diseases of spinal cord
G00-G99	G90-G99	G95.9	MORBUS MEDULLAE SPINALIS, NON SPECIFICATUS	BOLEST KIČMENE MOŽDINE, NEOZNAČENA	1	G95.9	Disease of spinal cord, unspecified
G00-G99	G90-G99	G96	MORBI SYSTEMATIS NERVOSI CENTRALIS ALII	OSTALI POREMEĆAJA CENTRALNOG NERVNOG SISTEMA	1	G96.-	Other disorders of central nervous system
G00-G99	G90-G99	G96.0	LIQUORRHOEA	CURENJE LIKVORA	1	G96.0	Cerebrospinal fluid leak
G00-G99	G90-G99	G96.1	MORBI MENINGIUM	POREMEĆAJI MOŽDANICE, NEKLASIFIKOVANO NA DRUGOM MJESTU	1	G96.1	Disorders of meninges, not elsewhere classified
G00-G99	G90-G99	G96.8	MORBI SYSTEMATIS NERVOSI CENTRALIS SPECIFICATI, ALII	DRUGI OZNAČENI POREMEĆAJI CENTRALNOG NERVNOG SISTEMA	1	G96.8	Other specified disorders of central nervous system
G00-G99	G90-G99	G96.9	MORBUS SYSTEMATIS NERVOSI CENTRALIS, NON SPECIFICATUS	POREMEĆAJ CENTRALNOG NERVNOG SISTEMA, NEOZNAČEN	1	G96.9	Disorder of central nervous system, unspecified
G00-G99	G90-G99	G97	MORBI SYSTEMATIS NERVOSI POSTPROCEDURALES	POREMEĆAJI NERVNOG SISTEMA POSLIJE RAZNIH PROCEDURA, NEKLASIFIKOVANI NA DRUGOM MJESTU	1	G97.-	Postprocedural disorders of nervous system, not elsewhere classified
G00-G99	G90-G99	G97.0	LIQUORRHOEA CEREBROSPINALIS PUNCTURALIS	CURENJE LIKVORA KOD PUNKCIJE	1	G97.0	Cerebrospinal fluid leak from spinal puncture
G00-G99	G90-G99	G97.1	REACTIO IN PUNCTIONEM SPINOLUMBALEM ALIA	DRUGA REAKCIJA NA SPINALNU I LUMBALNU PUNKCIJU	1	G97.1	Other reaction to spinal and lumbar puncture
G00-G99	G90-G99	G97.2	HYPOTENSIO INTRACRANIALIS AD LATERALISATIONEM VENTRICULI	SMANJEN UNUTARLOBANJSKI PRITISAK KOD DRENAŽE KOMORA MOZGA	1	G97.2	Intracranial hypotension following ventricular shunting
G00-G99	G90-G99	G97.8	MORBI SYSTEMATIS NERVOSI POSTPROCEDURALES ALII	DRUGI POREMEĆAJI NERVNOG SISTEMA POSLIJE RAZNIH PROCEDURA	1	G97.8	Other postprocedural disorders of nervous system
G00-G99	G90-G99	G97.9	MORBUS SYSTEMATIS NERVOSI POSTPROCEDURALES, NON SPECIFICATA	POREMEĆAJI NERVNOG SISTEMA POSLIJE RAZNIH PROCEDURA, NEOZNAČENI	1	G97.9	Postprocedural disorder of nervous system, unspecified
G00-G99	G90-G99	G98	MORBI SYSTEMATIS NERVOSI ALII	OSTALI POREMEĆAJI NERVNOG SISTEMA, NEKLASIFIKOVANI NA DRUGOM MJESTU	1	G98	Other disorders of nervous system, not elsewhere classified
G00-G99	G90-G99	G99*	MORBI SYSTEMATIS NERVOSI ALII IN MORBIS ALIIS	OSTALI POREMEĆAJI NERVNOG SISTEMA U DRUGIM BOLESTIMA	1	G99.-*	Other disorders of nervous system in diseases classified elsewhere
G00-G99	G90-G99	G99.0*	NEUROPATHIA AUTONOMA IN MORBIS ENDOCRINIS ET METABOLICIS	AUTONOMNO NEUROPATIJA U BOLESTIMA ŽLIJEZDA SA UNUTRAŠNJIM LUČENJEM I BOLESTIMA METABOLIZMA	1	G99.0*	Autonomic neuropathy in endocrine and metabolic diseases
G00-G99	G90-G99	G99.1*	MORBI SYSTEMATIS NERVOSI AUTONOMI ALII IN MORBIS ALIIS	DRUGE BOLESTI AUTONOMNOG NERVNOG SISTEMA U DRUGIM BOLESTIMA	1	G99.1*	Other disorders of autonomic nervous system in other diseases classified elsewhere
G00-G99	G90-G99	G99.2*	MYELOPATHIA IN MORBIS ALIIS	OBOLJENJE KIČMENE MOŽDINE U DRUGIM BOLESTIMA	1	G99.2*	Myelopathy in diseases classified elsewhere
G00-G99	G90-G99	G99.8*	MORBI SYSTEMATIS NERVOSI SPECIFICATI ALII IN MORBIS ALIIS	DRUGE OZNAČENE BOLESTI NERVNOG SISTEMA U DRUGIM BOLESTIMA	1	G99.8*	Other specified disorders of nervous system in diseases classified elsewhere
H00-H59	H00-H06	H00	HORDEOLUM ET CHALAZION	ČMIČAK I TVRDO ZRNO U OČNOM KAPKU 	1	H00.-	Hordeolum and chalazion
H00-H59	H00-H06	H00.0	HORDELOUM ET INFLAMMATORIES PALPEBRAE PROFUODAE ALIAE	ČMIČAK I DRUGA DUBOKA ZAPALJENJA OČNOG KAPAKA 	1	H00.0	Hordeolum and other deep inflammation of eyelid
H00-H59	H00-H06	H00.1	CHALAZION	TVRDO ZRNO U OČNOM KAPKU	1	H00.1	Chalazion
H00-H59	H00-H06	H01	MORBI PALPEBRAE INFLAMMATORII ALII	DRUGA ZAPALJENJA OČNOG KAPKA 	1	H01.-	Other inflammation of eyelid
H00-H59	H00-H06	H01.0	BLEFARITIS	ZAPALJENJE IVICE OČNOG KAPKA 	1	H01.0	Blepharitis
H00-H59	H00-H06	H01.1	DERMATOSIS PALPEBRAE NON INFECTIVA	NEZARAZNO OBOLJENJE KOŽE OČNOG KAPKA 	1	H01.1	Noninfectious dermatoses of eyelid
H00-H59	H00-H06	H01.8	MORBI PALPEBRAE INFLAMMATORII ALII, SPECIFICATI	DRUGA OZNAČENA ZAPALJENJA OČNOG KAPKA 	1	H01.8	Other specified inflammation of eyelid
H00-H59	H00-H06	H01.9	MORBUS PALPEBRAE INFLAMMATORIUS, NON SPECIFICATUS	ZAPALJENJE OČNOG KAPKA , NEOZNAČENO	1	H01.9	Inflammation of eyelid, unspecified
H00-H59	H00-H06	H02	MORBI PALPEBRAE ALII	OSTALI POREMEĆAJI OČNOG KAPKA 	1	H02.-	Other disorders of eyelid
H00-H59	H00-H06	H02.0	ENTROPIUM ET TRICHIASIS PALPEBRAE	UVRNUTOST OČNOG KAPKA  I TREPAVICE	1	H02.0	Entropion and trichiasis of eyelid
H00-H59	H00-H06	H02.1	ECTROPIUM PALPEBRAE	IZVRNUTOST OČNOG KAPKA 	1	H02.1	Ectropion of eyelid
H00-H59	H00-H06	H02.2	LAGOPHTHALMUS	NEPOTPUNO ZATVARANJE OČNOG KAPKA 	1	H02.2	Lagophthalmos
H00-H59	H00-H06	H02.3	BLEPHAROCHALASIS	OPUŠTANJE KOŽE OČNOG KAPKA 	1	H02.3	Blepharochalasis
H00-H59	H00-H06	H02.4	PTOSIS PALPEBRAE	SPUŠTEN OČNI KAPAK	1	H02.4	Ptosis of eyelid
H00-H59	H00-H06	H02.5	DISORDINES PALPEBRAE ALII	DRUGI POREMEĆAJI FUNKCIJE OČNOG KAPKA 	1	H02.5	Other disorders affecting eyelid function
H00-H59	H00-H06	H02.6	XANTHELASMA PALPEBRAE	KSANTELAZMA OČNOG KAPKA 	1	H02.6	Xanthelasma of eyelid
H00-H59	H00-H06	H02.7	DEGENERATIONES PALPEBRAE ET AREAE PERIOCULARIS ALIAE	DRUGE DEGENRATIVNI POREMEĆAJI OČNOG KAPKA I OKOLINE OKA	1	H02.7	Other degenerative disorders of eyelid and periocular area
H00-H59	H00-H06	H02.8	MORBI PALPEBRAE SPECIFICATI, ALII	DRUGI OZNAČENI POREMEĆAJI OČNOG KAPKA 	1	H02.8	Other specified disorders of eyelid
H00-H59	H00-H06	H02.9	MORBUS PALPEBRAE, NON SPECIFICATUS	POREMEĆAJ OČNOG KAPKA , NEOZNAČENA	1	H02.9	Disorder of eyelid, unspecified
H00-H59	H00-H06	H03*	MORBI PALPEBRAE IN MORBIS ALIIS	POREMEĆAJI OČNOG KAPKA U DRUGIM BOLESTIMA	1	H03.-*	Disorders of eyelid in diseases classified elsewhere
H00-H59	H00-H06	H03.0*	PARASITOSIS PALPEBRAE IN MORBIS ALIIS	PARAZITARNA OBOLJENJA OČNOG KAPKA  U DRUGIM BOLESTIMA	1	H03.0*	Parasitic infestation of eyelid in diseases classified elsewhere
H00-H59	H00-H06	H03.1*	MORBUS PALPEBRAE IN MORBIS INFECTIVIS ALIIS	BOLEST OČNOG KAPKA  U DRUGIM ZARAZNIM BOLESTIMA	1	H03.1*	Involvement of eyelid in other infectious diseases classified elsewhere
H00-H59	H00-H06	H03.8*	MORBI PALPEBRAE IN MORBIS ALIIS	BOLESTI OČNOG KAPKA  U DRUGIM BOLESTIMA	1	H03.8*	Involvement of eyelid in other diseases classified elsewhere
H00-H59	H00-H06	H04	MORBUS APPARATUS LACRIMALIS	BOLEST SUZNOG APARATA	1	H04.-	Disorders of lacrimal system
H00-H59	H00-H06	H04.0	DACRYIOADENITIS	ZAPALJENJE SUZNE ŽLIJEZDE	1	H04.0	Dacryoadenitis
H00-H59	H00-H06	H04.1	MORBI GLANDULAE LACRIMALIS ALII	DRUGI POREMEĆAJI SUZNE ŽLIJEZDE	1	H04.1	Other disorders of lacrimal gland
H00-H59	H00-H06	H04.2	EPIPHORA	SUŽENJE	1	H04.2	Epiphora
H00-H59	H00-H06	H04.3	DACRYOCYSTITIS ACUTA, NON SPECIFICATA	AKUTNO I NEOZNAČENO ZAPALJENJE SUZNIH PUTEVA, NEOZNAČENO	1	H04.3	Acute and unspecified inflammation of lacrimal passages
H00-H59	H00-H06	H04.4	DACRYOCYSTITIS CHRONICA	HRONIČNO ZAPALJENJE SUZNIH PUTEVA	1	H04.4	Chronic inflammation of lacrimal passages
H00-H59	H00-H06	H04.5	STENOSIS ET INSUFFICIENTIA DUCTUUM LACRIMALIUM	SUŽENJE I NEDOVOLJNA FUNKCIJA SUZNIH PUTEVA	1	H04.5	Stenosis and insufficiency of lacrimal passages
H00-H59	H00-H06	H04.6	MUTATIONES CANALIS LACRIMALIS ALIAE	DRUGE PROMJENE NA SUZNIM PUTEVIMA	1	H04.6	Other changes in lacrimal passages
H00-H59	H00-H06	H04.8	MORBI APPARATUS LACRIMALIS ALII	DRUGI POREMEĆAJI SUZNOG APARATA	1	H04.8	Other disorders of lacrimal system
H00-H59	H00-H06	H04.9	MORBUS APPARATUS LACRIMALIS, NON SPECIFICATUS	POREMEĆAJ SUZNOG APARATA, NEOZNAČEN	1	H04.9	Disorder of lacrimal system, unspecified
H00-H59	H00-H06	H05	MORBI ORBITAE	POREMEĆAJI OČNE DUPLJE	1	H05.-	Disorders of orbit
H00-H59	H00-H06	H05.0	INFLAMMATIO ORBITAE ACUTA	AKUTNO ZAPALJENJE OČNE DUPLJE	1	H05.0	Acute inflammation of orbit
H00-H59	H00-H06	H05.1	INFLAMMATIO ORBITAE CHRONICA	HRONIČNO ZAPALJENJE OČNE DUPLJE	1	H05.1	Chronic inflammatory disorders of orbit
H00-H59	H00-H06	H05.2	EXOPHTHALMUS	EGZOFTALMUS	1	H05.2	Exophthalmic conditions
H00-H59	H00-H06	H05.3	DEFORMATIO ORBITAE	DEFORMACIJA OČNE DUPLJE	1	H05.3	Deformity of orbit
H00-H59	H00-H06	H05.4	ENOPHTHALMUS	UVUČENOST OKA U DUPLJU OKA	1	H05.4	Enophthalmos
H00-H59	H00-H06	H05.5	CORPUS ALIENUM ORBITAE	ZAOSTALO STRANO TIJELO POSLIJE PENETRIRAJUĆE OZLJEDE OČNE DUPLJE	1	H05.5	Retained (old) foreign body following penetrating wound of orbit
H00-H59	H00-H06	H05.8	MORBI ORBITAE ALIAE	DRUGI POREMEĆAJI OČNE DUPLJE	1	H05.8	Other disorders of orbit
H00-H59	H00-H06	H05.9	MORBUS ORBITAE, NON SPECIFICATUS	POREMEĆAJI OČNE DUPLJE, NEOZNAČEN	1	H05.9	Disorder of orbit, unspecified
H00-H59	H00-H06	H06*	MORBI APPARTUS LACRIMALIS ET MORBI ORBITAE IN MORBIS ALIIS	POREMEĆAJI SUZNOG APARATA I OČNE DUPLJE U DRUGIM BOLESTIMA	1	H06.-*	Disorders of lacrimal system and orbit in diseases classified elsewhere
H00-H59	H00-H06	H06.0*	MORBI APPARATUS LACRIMALIS IN MORBIS ALIIS	POREMEĆAJI SUZNOG APARATA U DRUGIM BOLESTIMA	1	H06.0*	Disorders of lacrimal system in diseases classified elsewhere
H00-H59	H00-H06	H06.1*	PARASITOSIS ORBITAE IN MORBIS ALIIS	PARAZITARNA OBOLJENJA OČNE DUPLJE U DRUGIM BOLESTIMA	1	H06.1*	Parasitic infestation of orbit in diseases classified elsewhere
H00-H59	H00-H06	H06.2*	EXOPHTHALMIA DYSTHYREOIDEA (E05.-+)	EGZOFTALMUS UZROKOVANA POREMEĆAJEM FUNKCIJE ŠTITASTE ŽLIJEZDE	1	H06.2*	Dysthyroid exophthalmos
H00-H59	H00-H06	H06.3*	MORBI ORBITAE ALII IN MORBIS ALIIS	DRUGE BOLESTI OČNE DUPLJE U DRUGIM BOLESTIMA	1	H06.3*	Other disorders of orbit in diseases classified elsewhere
H00-H59	H10-H13	H10	CONJUCTIVITIS	ZAPALJENJE VEŽNJAČE	1	H10.-	Conjunctivitis
H00-H59	H10-H13	H10.0	CONJUCTIVITIS MUCOPURULENTA	SLUZAVO-GNOJNO ZAPALJENJE VEŽNJAČE 	1	H10.0	Mucopurulent conjunctivitis
H00-H59	H10-H13	H10.1	CONJUCTIVITIS ALLERGICA ACUTA	AKUTNO ATOPIČNO ZAPALJENJE VEŽNJAČE 	1	H10.1	Acute atopic conjunctivitis
H00-H59	H10-H13	H10.2	CONJUCTIVITIS ACUTA ALIA	DRUGO AKUTNO ZAPALJENJE VEŽNJAČE 	1	H10.2	Other acute conjunctivitis
H00-H59	H10-H13	H10.3	CONJUCTIVITIS ACUTA, NON SPECIFICATA	AKUTNO ZAPALJENJE VEŽNJAČE, NEOZNAČENO	1	H10.3	Acute conjunctivitis, unspecified
H00-H59	H10-H13	H10.4	CONJUCTIVITIS CHRONICA	HRONIČNO ZAPALJENJE VEŽNJAČE 	1	H10.4	Chronic conjunctivitis
H00-H59	H10-H13	H10.5	BLEPHAROCONJUCTIVITIS	ZAPALJENJE RUBA OCNOG KAPKA I VEŽNJAČE 	1	H10.5	Blepharoconjunctivitis
H00-H59	H10-H13	H10.8	CONJUCTIVITIS ALIA	DRUGO ZAPALJENJE VEŽNJAČE 	1	H10.8	Other conjunctivitis
H00-H59	H10-H13	H10.9	CONJUCTIVITIS, NON SPECIFICATA	ZAPALJENJE VEŽNJAČE, NEOZNAČENO	1	H10.9	Conjunctivitis, unspecified
H00-H59	H10-H13	H11	MORBI CONJUCTIVAE ALII	OSTALI POREMEĆAJI VEŽNJAČE 	1	H11.-	Other disorders of conjunctiva
H00-H59	H10-H13	H11.0	PTERYGIUM	PTERIGIJUM	1	H11.0	Pterygium
H00-H59	H10-H13	H11.1	DEGENERATIONES ET DEPOSITA CONJUCTIVAE	DEGENERATIVNE PROMJENE I NASLAGE VEŽNJAČE 	1	H11.1	Conjunctival degenerations and deposits
H00-H59	H10-H13	H11.2	CICATRIX CONJUCTIVAE	OŽILJCI VEŽNJAČE	1	H11.2	Conjunctival scars
H00-H59	H10-H13	H11.3	HAEMORRHAGIAE CONJUCTIVAE	KRVARENJE VEŽNJAČE 	1	H11.3	Conjunctival haemorrhage
H00-H59	H10-H13	H11.4	MORBI VASCULORUM ET CYSTIS CONJUCTIVAE	DRUGI POREMEĆAJI KRVNIH SUDOVA I CISTA VEŽNJAČE 	1	H11.4	Other conjunctival vascular disorders and cysts
H00-H59	H10-H13	H11.8	MORBI CONJUCTIVAE SPECIFICATI, ALII	DRUGI OZNAČENI POREMEĆAJI VEŽNJAČE 	1	H11.8	Other specified disorders of conjunctiva
H00-H59	H10-H13	H11.9	MORBUS CONJUCTIVAE ALIUS, NON SPECIFICATI	POREMEĆAJ VEŽNJAČE, NEOZNAČEN	1	H11.9	Disorder of conjunctiva, unspecified
H00-H59	H10-H13	H13*	MORBI CONJUCTIVAE IN MORBIS ALIIS	POREMEĆAJI VEŽNJAČE U DRUGIM BOLESTIMA	1	H13.-*	Disorders of conjunctiva in diseases classified elsewhere
H00-H59	H10-H13	H13.0*	FILARIASIS CONJUCTIVAE	FILARIJAZA VEŽNJAČE 	1	H13.0*	Filarial infection of conjunctiva
H00-H59	H10-H13	H13.1*	CONJUCTIVITIS IN MORBIS INFECTIVIS ET MORBIS PARASITARIIS	ZAPALJENJE VEŽNJAČE U ZARAZNIM I PARAZITARNIM BOLESTIMA	1	H13.1*	Conjunctivitis in infectious and parasitic diseases classified elsewhere
H00-H59	H10-H13	H13.2*	CONJUCTIVITIS IN MORBIS ALIIS	ZAPALJENJE VEŽNJAČE U DRUGIM BOLESTIMA	1	H13.2*	Conjunctivitis in other diseases classified elsewhere
H00-H59	H10-H13	H13.3*	PEMPHIGUS OCULARIS (L12.-+)	PLIKOVNJAČA OKA	1	H13.3*	Ocular pemphigoid
H00-H59	H10-H13	H13.8*	MORBI CONJUCTIVAE ALII IN MORBIS ALIIS	DRUGI POREMEĆAJI VEŽNJAČE U DRUGIM BOLESTIMA	1	H13.8*	Other disorders of conjunctiva in diseases classified elsewhere
H00-H59	H15-H22	H15	MORBI SCLERAE	BOLESTI BEONJAČE	1	H15.-	Disorders of sclera
H00-H59	H15-H22	H15.0	SCLERITIS	ZAPALJENJE BEONJAČE	1	H15.0	Scleritis
H00-H59	H15-H22	H15.1	EPISCLERITIS	POVRŠINSKO ZAPALJENJE BEONJAČE	1	H15.1	Episcleritis
H00-H59	H15-H22	H15.8	MORBI SCLERAE ALII	DRUGI POREMEĆAJI BEONJAČE	1	H15.8	Other disorders of sclera
H00-H59	H15-H22	H15.9	MORBUS SCLERAE, NON SPECIFICATUS	POREMEĆAJ BEONJAČE, NEOZNAČEN	1	H15.9	Disorder of sclera, unspecified
